ClusterID,ClusterName,Organism,subunits(UniProt IDs),subunits(Entrez IDs),subunits(Protein name),subunits(Gene name),Complex comment,subunits(Gene name syn)
325,"Skeletal muscle sarcoglycan complex SGC, beta-gamma-delta-zeta",Mouse,P82347;P82348;P82349;Q8BX51,24052;24053;24051;244431,Delta-sarcoglycan ;Gamma-sarcoglycan ;Beta-sarcoglycan ;Zeta-sarcoglycan,Sgcd;Sgcg;Sgcb;Sgcz,"The authors demonstrate that zeta-sarcoglycan is an integral component of the sarcoglycan complex and, as such, is important in the pathogenesis of muscular dystrophy.",;;;
326,"Smooth muscle sarcoglycan complex SGC, beta-delta-zeta",Mouse,P82347;P82349;Q8BX51,24052;24051;244431,Delta-sarcoglycan ;Beta-sarcoglycan ;Zeta-sarcoglycan,Sgcd;Sgcb;Sgcz,"The authors demonstrate that zeta-sarcoglycan was found as a component of the vascular smooth muscle sarcoglycan complex. They propose that vasospasm, as it occurs in sarcoglycan-deficient muscle, may not be related to disruption of the vascular smooth muscle sarcoglycan complex.",;;
328,Ku antigen complex,Human,P12956;P13010,2547;7520,X-ray repair cross-complementing protein 6 ;X-ray repair cross-complementing protein 5,XRCC6;XRCC5,In the absence of added DNA Ku70-Ku80 copurify without DNA-PKcs.,G22P1;G22P2
330,PSF-p54(nrb) complex,Human,P23246;Q15233,6421;4841,"Splicing factor, proline- and glutamine-rich ;Non-POU domain-containing octamer-binding protein",SFPQ;NONO,PSF-p54(nrb) complex probably works as a dimeric complex.,PSF;NRB54
332,"Skeletal muscle sarcoglycan complex SGC, alpha-beta-epsilon-gamma",Mouse,O70258;P82348;P82349;P82350,20392;24053;24051;20391,Epsilon-sarcoglycan ;Gamma-sarcoglycan ;Beta-sarcoglycan ;Alpha-sarcoglycan,Sgce;Sgcg;Sgcb;Sgca,Mutations in any of the four genes encoding sarcoglycans cause a deficiency in all sarcoglycans in the sarcolemma and produce one of four types of limb-girdle muscular dystrophy.,;;;
333,"Skeletal muscle sarcoglycan complex SGC, alpha-beta-gamma-delta",Mouse,P82347;P82348;P82349;P82350,24052;24053;24051;20391,Delta-sarcoglycan ;Gamma-sarcoglycan ;Beta-sarcoglycan ;Alpha-sarcoglycan,Sgcd;Sgcg;Sgcb;Sgca,Complex also isolated in C2C12 cells; epsilon-sarcoglycan was undetectable in anti-alpha-sarcoglycan isolates and vice versa. Mutations in any of the four genes encoding sarcoglycans cause a deficiency in all sarcoglycans in the sarcolemma and produce one of four types of limb-girdle muscular dystrophy.,;;;
334,"Skeletal muscle sarcoglycan complex SGC, epsilon-beta-gamma-delta",Mouse,O70258;P82347;P82348;P82349,20392;24052;24053;24051,Epsilon-sarcoglycan ;Delta-sarcoglycan ;Gamma-sarcoglycan ;Beta-sarcoglycan,Sgce;Sgcd;Sgcg;Sgcb,Complex also isolated in C2C12 cells; epsilon-sarcoglycan was undetectable in anti-alpha-sarcoglycan isolates and vice versa. Mutations in any of the four genes encoding sarcoglycans cause a deficiency in all sarcoglycans in the sarcolemma and produce one of four types of limb-girdle muscular dystrophy.,;;;
335,p54(nrb)-PSF-matrin3 complex,Human,P23246;P43243;Q15233,6421;9782;4841,"Splicing factor, proline- and glutamine-rich ;Matrin-3;Non-POU domain-containing octamer-binding protein",SFPQ;MATR3;NONO,This complex binds specifically to inosine-containing RNAs and anchors hyperedited RNAs to the nuclear matrix.,PSF;KIAA0723;NRB54
336,DNA ligase IV-XRCC4-AHNK complex,Human,P49917;Q09666;Q13426,3981;79026;7518,DNA ligase 4 ;Neuroblast differentiation-associated protein AHNAK ;DNA repair protein XRCC4,LIG4;AHNAK;XRCC4,AHNAK stimulates the double-stranded ligation activity of DNA ligase IV-XRCC4 complex.,;PM227;
337,"Dystrophin-sarcoglycan-syntrophin complex, skeletal muscle",Mouse,P11531;P82347;P82348;P82349;P82350;Q61234;Q61235;Q925E0;Q925E1;Q99L88,13405;24052;24053;24051;20391;20648;20650;268534;71096;20649,Dystrophin;Delta-sarcoglycan ;Gamma-sarcoglycan ;Beta-sarcoglycan ;Alpha-sarcoglycan ;Alpha-1-syntrophin ;Beta-2-syntrophin ;Gamma-2-syntrophin ;Gamma-1-syntrophin ;Beta-1-syntrophin,Dmd;Sgcd;Sgcg;Sgcb;Sgca;Snta1;Sntb2;Sntg2;Sntg1;Sntb1,"The authors show  that delta -sarcoglycan can be cross-linked to the dystroglycan complex and of the four sarcoglycans, only beta -, gamma -, and delta -sarcoglycan contain intramolecular disulfide bonds.",;;;;;Snt1;Snt2b2;;;Snt2b1
338,"40S ribosomal subunit, cytoplasmic",Human,P08708;P08865;P15880;P23396;P25398;P39019;P46781;P46782;P46783;P60866;P61247;P62081;P62241;P62244;P62249;P62263;P62266;P62269;P62273;P62277;P62280;P62701;P62753;P62841;P62847;P62851;P62854;P62857;P62861;P62979;P63220,6218;3921;6187;6188;6206;6223;6203;6193;6204;6224;6189;6201;6202;6210;6217;6208;6228;6222;6235;6207;6205;6191;6194;6209;6229;6230;6231;6234;2197;6233;6227,"40S ribosomal protein S17;40S ribosomal protein SA ;40S ribosomal protein S2 ;40S ribosomal protein S3 ;40S ribosomal protein S12;40S ribosomal protein S19;40S ribosomal protein S9;40S ribosomal protein S5 [Cleaved into: 40S ribosomal protein S5, N-terminally processed];40S ribosomal protein S10;40S ribosomal protein S20;40S ribosomal protein S3a ;40S ribosomal protein S7;40S ribosomal protein S8;40S ribosomal protein S15a;40S ribosomal protein S16;40S ribosomal protein S14;40S ribosomal protein S23;40S ribosomal protein S18 ;40S ribosomal protein S29;40S ribosomal protein S13;40S ribosomal protein S11;40S ribosomal protein S4, X isoform ;40S ribosomal protein S6 ;40S ribosomal protein S15 ;40S ribosomal protein S24;40S ribosomal protein S25;40S ribosomal protein S26;40S ribosomal protein S28;40S ribosomal protein S30;Ubiquitin-40S ribosomal protein S27a ;40S ribosomal protein S21",RPS17;RPSA;RPS2;RPS3;RPS12;RPS19;RPS9;RPS5;RPS10;RPS20;RPS3A;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS18;RPS29;RPS13;RPS11;RPS4X;RPS6;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPS27A;RPS21,None,RPS17L;LAMBR LAMR1;RPS4;;;;;;;;FTE1 MFTL;;;;;;;D6S218E;;;;CCG2 RPS4 SCAR;;RIG;;;;;;UBA80 UBCEP1;
339,Smooth muscle dystroglycan complex,Rabbit,O08614;O70258;P82347;P82352;Q28635;Q28646;Q28685,22288;20392;24052;100008714;100009208;100009214;100009278,Cytoskeletal protein;Epsilon-sarcoglycan ;Delta-sarcoglycan ;Sarcospan;Beta-sarcoglycan ;Gamma-sarcoglycan;Dystroglycan,Utrn;Sgce;Sgcd;SSPN;SGCB;;DAG1,"The authors demonstrate that the presence of the sarcoglycans and sarcospan in lung reflects association with dystroglycan in the smooth muscle within lung, and they show that epithelial dystroglycan is not associated with any of the known sarcoglycans and can be separated from the smooth muscle dystroglycan complex.",utrophin;;;;;;
340,"Dystrophin-glycoprotein complex DGC, skeletal muscle",Rabbit,P11531;P82347;P82352;Q28626;Q28635;Q28646;Q28685;Q28686,13405;24052;100008714;100009179;100009208;100009214;100009278;100009178,Dystrophin;Delta-sarcoglycan ;Sarcospan;Alpha-1-syntrophin ;Beta-sarcoglycan ;Gamma-sarcoglycan;Dystroglycan ;Alpha-sarcoglycan,Dmd;Sgcd;SSPN;SNTA1;SGCB;;DAG1;SGCA,These proteins provide a physical connection between the extracellular matrix and the intracellular cytoskeleton of muscle cells.,;;;SNT1;;;;ADL DAG2
342,Skeletal muscle sarcoglycan-sarcospan complex SG-SPN,Rabbit,P82347;P82352;Q28635;Q28646;Q28686,24052;100008714;100009208;100009214;100009178,Delta-sarcoglycan ;Sarcospan;Beta-sarcoglycan ;Gamma-sarcoglycan;Alpha-sarcoglycan,Sgcd;SSPN;SGCB;;SGCA,The authors demonstrate that assembly of the SG subcomplex is a prerequisite for targeting SPN to the sarcolemma and that the SG- SPN subcomplex functions to stabilize alpha -dystroglycan to the muscle plasma membrane.,;;;;ADL DAG2
345,DNA ligase IV-XRCC4 complex (LX complex),Human,P49917;Q13426,3981;7518,DNA ligase 4 ;DNA repair protein XRCC4,LIG4;XRCC4,None,;
346,Sarcoglycan-sarcospan-dystroglycan complex,Mouse,P82347;P82348;P82349;P82350;Q62147;Q62165,24052;24053;24051;20391;16651;13138,Delta-sarcoglycan ;Gamma-sarcoglycan ;Beta-sarcoglycan ;Alpha-sarcoglycan ;Sarcospan ;Dystroglycan,Sgcd;Sgcg;Sgcb;Sgca;Sspn;Dag1,None,;;;;Krag;Dag-1
347,Sarcoglycan-sarcospan-complex SG-SPN,Mouse,P82347;P82348;P82349;P82350;Q62147,24052;24053;24051;20391;16651,Delta-sarcoglycan ;Gamma-sarcoglycan ;Beta-sarcoglycan ;Alpha-sarcoglycan ;Sarcospan,Sgcd;Sgcg;Sgcb;Sgca;Sspn,None,;;;;Krag
349,Sarcoglycan-sarcospan-syntrophin-dystrobrevin complex,Mouse,O70585;P82347;P82348;P82349;P82350;Q61234;Q62147;Q99L88;Q9D2N4,13528;24052;24053;24051;20391;20648;16651;20649;13527,Dystrobrevin beta ;Delta-sarcoglycan ;Gamma-sarcoglycan ;Beta-sarcoglycan ;Alpha-sarcoglycan ;Alpha-1-syntrophin ;Sarcospan ;Beta-1-syntrophin ;Dystrobrevin alpha,Dtnb;Sgcd;Sgcg;Sgcb;Sgca;Snta1;Sspn;Sntb1;Dtna,The authors consider that the sarcoglycan-sarcospan complex is linked to the signaling protein neuronal nitric oxide synthase via alpha-syntrophin associated with dystrobrevin.,;;;;;Snt1;Krag;Snt2b1;Dtn
350,DNA ligase IV-XRCC4-PNK complex,Human,P49917;Q13426;Q96T60,3981;7518;11284,DNA ligase 4 ;DNA repair protein XRCC4 ;Bifunctional polynucleotide phosphatase/kinase,LIG4;XRCC4;PNKP,Interaction of PNK with XRCC4 is dependent on the phosphothreonine-binding activity of the FHA domain.,;;
351,Spliceosome,Human,O00425;O00571;O14776;O15042;O15355;O43143;O43172;O43290;O43395;O43447;O43660;O43670;O43719;O43809;O60231;O60306;O60508;O75400;O75533;O75643;O75934;O75937;O75940;O94906;O95232;O95391;O95400;O95926;P08579;P08621;P09012;P09234;P09661;P11940;P14678;P17844;P26368;P38919;P41223;P42285;P49756;P52298;P55081;P55769;P61326;P62304;P62306;P62308;P62310;P62312;P62314;P62316;P62318;P62995;P83876;P84103;Q01081;Q01130;Q05519;Q07955;Q08170;Q08211;Q09161;Q12874;Q13123;Q13242;Q13243;Q13247;Q13356;Q13435;Q13523;Q13573;Q13769;Q13838;Q14011;Q14498;Q14562;Q15007;Q15029;Q15287;Q15393;Q15427;Q15428;Q15459;Q15637;Q16629;Q16630;Q2TAY7;Q4ZG51;Q53GS9;Q69YN4;Q6I9Y2;Q6P2Q9;Q7L014;Q86V81;Q86W42;Q8IYB3;Q8NI27;Q8WUQ7;Q8WVK2;Q8WWY3;Q8WYA6;Q92620;Q92841;Q96BP3;Q96DF8;Q96DI7;Q96FV9;Q96I25;Q96J01;Q96T37;Q96T58;Q99459;Q99633;Q9BQ61;Q9BRD0;Q9BUQ8;Q9BXP5;Q9BZJ0;Q9H2H8;Q9HCE1;Q9HCG8;Q9HCS7;Q9NW64;Q9NYV4;Q9P013;Q9UBB9;Q9UHX1;Q9UJV9;Q9UK45;Q9UKV3;Q9ULR0;Q9UMS4;Q9UNP9;Q9UQ35;Q9Y2W2;Q9Y333;Q9Y3B4;Q9Y3C6;Q9Y4Z0;Q9Y5B6;Q9Y5S9;Q9Y6A4,10643;1654;10915;23350;5496;1665;9128;9092;9129;10465;5356;7756;27336;11051;8449;9716;51362;55660;23451;23020;10286;22826;10285;24148;51747;10569;10421;25949;6629;6625;6626;6631;6627;26986;6628;1655;11338;9775;8896;23517;58517;22916;4236;4809;4116;6635;6636;6637;27258;11157;6632;6633;6634;6434;10907;6428;7307;6427;9295;6426;6429;1660;4686;10946;3550;8683;6430;6431;23759;10992;8899;22938;8563;7919;1153;9584;1659;9589;9343;10921;23450;10262;8175;10291;7536;6432;11052;55234;55660;10713;25962;80145;10594;9879;10189;79228;10250;57187;58509;11017;26121;56259;9785;10521;23398;8220;9410;9984;84991;84321;64783;23013;988;8559;79002;84811;9416;51593;51340;53938;4343;57703;56949;55696;51755;51503;None;22827;51428;51690;22985;57461;27339;10450;23524;51729;57819;51639;51645;25804;94104;9939;29105,Insulin-like growth factor 2 mRNA-binding protein 3 ;ATP-dependent RNA helicase DDX3X ;Transcription elongation regulator 1 ;U2 snRNP-associated SURP motif-containing protein ;Protein phosphatase 1G ;Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 ;U4/U6 small nuclear ribonucleoprotein Prp4 ;U4/U6.U5 tri-snRNP-associated protein 1 ;U4/U6 small nuclear ribonucleoprotein Prp3 ;Peptidyl-prolyl cis-trans isomerase H ;Pleiotropic regulator 1;BUB3-interacting and GLEBS motif-containing protein ZNF207 ;HIV Tat-specific factor 1 ;Cleavage and polyadenylation specificity factor subunit 5 ;Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 ;Intron-binding protein aquarius ;Pre-mRNA-processing factor 17 ;Pre-mRNA-processing factor 40 homolog A ;Splicing factor 3B subunit 1 ;U5 small nuclear ribonucleoprotein 200 kDa helicase ;Pre-mRNA-splicing factor SPF27 ;DnaJ homolog subfamily C member 8 ;Survival of motor neuron-related-splicing factor 30 ;Pre-mRNA-processing factor 6 ;Luc7-like protein 3 ;Pre-mRNA-splicing factor SLU7 ;CD2 antigen cytoplasmic tail-binding protein 2 ;Pre-mRNA-splicing factor SYF2 ;U2 small nuclear ribonucleoprotein B'' ;U1 small nuclear ribonucleoprotein 70 kDa ;U1 small nuclear ribonucleoprotein A ;U1 small nuclear ribonucleoprotein C ;U2 small nuclear ribonucleoprotein A' ;Polyadenylate-binding protein 1 ;Small nuclear ribonucleoprotein-associated proteins B and B' ;Probable ATP-dependent RNA helicase DDX5 ;Splicing factor U2AF 65 kDa subunit ;Eukaryotic initiation factor 4A-III ;Protein BUD31 homolog ;Superkiller viralicidic activity 2-like 2 ;RNA-binding protein 25 ;Nuclear cap-binding protein subunit 2 ;Microfibrillar-associated protein 1;NHP2-like protein 1 ;Protein mago nashi homolog;Small nuclear ribonucleoprotein E ;Small nuclear ribonucleoprotein F ;Small nuclear ribonucleoprotein G ;U6 snRNA-associated Sm-like protein LSm3;U6 snRNA-associated Sm-like protein LSm6;Small nuclear ribonucleoprotein Sm D1 ;Small nuclear ribonucleoprotein Sm D2 ;Small nuclear ribonucleoprotein Sm D3 ;Transformer-2 protein homolog beta ;Thioredoxin-like protein 4A ;Serine/arginine-rich splicing factor 3 ;Splicing factor U2AF 35 kDa subunit ;Serine/arginine-rich splicing factor 2 ;Serine/arginine-rich splicing factor 11 ;Serine/arginine-rich splicing factor 1 ;Serine/arginine-rich splicing factor 4 ;ATP-dependent RNA helicase A ;Nuclear cap-binding protein subunit 1 ;Splicing factor 3A subunit 3 ;Protein Red ;Serine/arginine-rich splicing factor 9 ;Serine/arginine-rich splicing factor 5 ;Serine/arginine-rich splicing factor 6 ;Peptidyl-prolyl cis-trans isomerase-like 2 ;Splicing factor 3B subunit 2 ;Serine/threonine-protein kinase PRP4 homolog ;SNW domain-containing protein 1 ;THO complex subunit 5 homolog ;Spliceosome RNA helicase DDX39B ;Cold-inducible RNA-binding protein ;RNA-binding protein 39 ;ATP-dependent RNA helicase DHX8 ;Pre-mRNA-splicing regulator WTAP ;116 kDa U5 small nuclear ribonucleoprotein component ;RNA-binding protein with serine-rich domain 1 ;Splicing factor 3B subunit 3 ;Splicing factor 3B subunit 4 ;Splicing factor 3A subunit 2 ;Splicing factor 3A subunit 1 ;Splicing factor 1 ;Serine/arginine-rich splicing factor 7 ;Cleavage and polyadenylation specificity factor subunit 6 ;WD40 repeat-containing protein SMU1 ;Putative uncharacterized protein FNBP3 ;U4/U6.U5 tri-snRNP-associated protein 2 ;Protein virilizer homolog;THO complex subunit 7 homolog ;Pre-mRNA-processing-splicing factor 8 ;Probable ATP-dependent RNA helicase DDX46 ;THO complex subunit 4 ;THO complex subunit 6 homolog ;Serine/arginine repetitive matrix protein 1 ;THO complex subunit 2 ;Cactin ;U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein ;U4/U6 small nuclear ribonucleoprotein Prp31 ;Beta-catenin-like protein 1 ;Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 ;Probable ATP-dependent RNA helicase DDX17 ;Peptidylprolyl isomerase domain and WD repeat-containing protein 1 ;Protein DGCR14 ;U5 small nuclear ribonucleoprotein 40 kDa protein ;THO complex subunit 1 ;Splicing factor 45 ;THO complex subunit 3 ;Putative RNA-binding protein 15 ;Msx2-interacting protein ;Cell division cycle 5-like protein ;Pre-mRNA-splicing factor 18 ;Uncharacterized protein C19orf43;BUD13 homolog;Probable ATP-dependent RNA helicase DDX23 ;Serrate RNA effector molecule homolog ;Crooked neck-like protein 1 ;Peptidyl-prolyl cis-trans isomerase-like 3 ;Putative helicase MOV-10 ;Pre-mRNA-splicing factor CWC22 homolog ;Pre-mRNA-splicing factor SYF1 ;Pre-mRNA-splicing factor RBM22 ;Cyclin-dependent kinase 12 ;Spliceosome-associated protein CWC15 homolog;Tuftelin-interacting protein 11 ;Poly;Probable ATP-dependent RNA helicase DDX41 ;U6 snRNA-associated Sm-like protein LSm7;Apoptotic chromatin condensation inducer in the nucleus ;Pre-mRNA-splicing factor ISY1 homolog;Pre-mRNA-processing factor 19 ;Peptidyl-prolyl cis-trans isomerase E ;Serine/arginine repetitive matrix protein 2 ;WW domain-binding protein 11 ;U6 snRNA-associated Sm-like protein LSm2 ;Splicing factor 3B subunit 6 ;Peptidyl-prolyl cis-trans isomerase-like 1 ;U6 snRNA-associated Sm-like protein LSm4 ;PAX3- and PAX7-binding protein 1 ;RNA-binding protein 8A ;Cilia- and flagella-associated protein 20,IGF2BP3;DDX3X;TCERG1;U2SURP;PPM1G;DHX15;PRPF4;SART1;PRPF3;PPIH;PLRG1;ZNF207;HTATSF1;NUDT21;DHX16;AQR;CDC40;PRPF40A;SF3B1;SNRNP200;BCAS2;DNAJC8;SMNDC1;PRPF6;LUC7L3;SLU7;CD2BP2;SYF2;SNRPB2;SNRNP70;SNRPA;SNRPC;SNRPA1;PABPC1;SNRPB;DDX5;U2AF2;EIF4A3;BUD31;SKIV2L2;RBM25;NCBP2;MFAP1;SNU13;MAGOH;SNRPE;SNRPF;SNRPG;LSM3;LSM6;SNRPD1;SNRPD2;SNRPD3;TRA2B;TXNL4A;SRSF3;U2AF1;SRSF2;SRSF11;SRSF1;SRSF4;DHX9;NCBP1;SF3A3;IK;SRSF9;SRSF5;SRSF6;PPIL2;SF3B2;PRPF4B;SNW1;THOC5;DDX39B;CIRBP;RBM39;DHX8;WTAP;EFTUD2;RNPS1;SF3B3;SF3B4;SF3A2;SF3A1;SF1;SRSF7;CPSF6;SMU1;FNBP3;USP39;KIAA1429;THOC7;PRPF8;DDX46;ALYREF;THOC6;SRRM1;THOC2;CACTIN;SNRNP27;PRPF31;CTNNBL1;DHX38;DDX17;PPWD1;DGCR14;SNRNP40;THOC1;RBM17;THOC3;RBM15;SPEN;CDC5L;PRPF18;C19orf43;BUD13;DDX23;SRRT;CRNKL1;PPIL3;MOV10;CWC22;XAB2;RBM22;CDK12;CWC15;TFIP11;PUF60;DDX41;LSM7;ACIN1;ISY1;PRPF19;PPIE;SRRM2;WBP11;LSM2;SF3B6;PPIL1;LSM4;PAXBP1;RBM8A;CFAP20,"In eukaryotes, the removal of introns from nascent transcripts is mediated by a highly dynamic, macromolecular machine called the spliceosome.",IMP3 KOC1 VICKZ3;DBX DDX3;CA150 TAF2S;KIAA0332 SR140;PPM1C;DBP1 DDX15;PRP4;;HPRP3 PRP3;CYP20 CYPH;;BUGZ;;CFIM25 CPSF25 CPSF5;DBP2 DDX16 KIAA0577;KIAA0560;EHB3 PRP17 PRPF17;FBP11 FLAF1 FNBP3 HIP10 HYPA;SAP155;ASCC3L1 HELIC2 KIAA0788;DAM1;SPF31;SMNR SPF30;C20orf14;CREAP1 CROP O48;;KIAA1178;CBPIN GCIPIP;;RNPU1Z RPU1 SNRP70 U1AP1;;;;PAB1 PABP1 PABPC2;COD SNRPB1;G17P1 HELR HLR1;U2AF65;DDX48 KIAA0111;EDG2;DOB1 KIAA0052 Mtr4;RNPC7;CBP20;;NHP2L1;MAGOHA;;PBSCF;PBSCG;;;;SNRPD1;;SFRS10;DIM1 TXNL4;SFRS3 SRP20;U2AF35 U2AFBP;SFRS2;SFRS11;ASF SF2 SF2P33 SFRS1;SFRS4 SRP75;DDX9 LKP NDH2;CBP80 NCBP;SAP61;RED RER;SFRS9 SRP30C;HRS SFRS5 SRP40;SFRS6 SRP55;;SAP145;KIAA0536 PRP4 PRP4H PRP4K;SKIIP SKIP;C22orf19 KIAA0983;BAT1 UAP56;A18HNRNP CIRP;HCC1 RNPC2;DDX8;KIAA0105;KIAA0031 SNRP116;LDC2;KIAA0017 SAP130;SAP49;SAP62;SAP114;ZFM1 ZNF162;SFRS7;CFIM68;;;;;NIF3L1BP1;PRPC8;KIAA0801;ALY BEF THOC4;WDR58;SRM160;CXorf3;C19orf29;;PRP31;C20orf33;DDX38 KIAA0224 PRP16;;KIAA0073;DGCR13 DGSH DGSI ES2;PRP8BP SFP38 WDR57;HPR1;SPF45;;OTT OTT1;KIAA0929 MINT SHARP;KIAA0432 PCDC5RP;HPRP18;;;;ARS2 ASR2;CRN;;KIAA1631;KIAA1604 NCM;HCNP KIAA1177 SYF1;ZC3H16;CRK7 CRKRS KIAA0904;C11orf5;STIP;FIR ROBPI SIAHBP1;ABS;;ACINUS KIAA0670;KIAA1160;NMP200 PRP19 SNEV;CYP33;KIAA0324 SRL300 SRM300;NPWBP SIPP1 SNP70;C6orf28 G7B;SAP14 SF3B14 SF3B14A;CYPL1;;C21orf66 GCFC GCFC1;RBM8;BUG22 C16orf80
353,DNA ligase IV-condensin complex,Human,O95347;P49917;Q9NTJ3,10592;3981;10051,Structural maintenance of chromosomes protein 2 ;DNA ligase 4 ;Structural maintenance of chromosomes protein 4,SMC2;LIG4;SMC4,DNA ligase IV interacts with SMC2L1 protein.,CAPE SMC2L1;;CAPC SMC4L1
355,DNA-PK-Ku antigen complex,Human,P12956;P13010;P78527,2547;7520;5591,X-ray repair cross-complementing protein 6 ;X-ray repair cross-complementing protein 5 ;DNA-dependent protein kinase catalytic subunit,XRCC6;XRCC5;PRKDC,Ku antigen activates DNA-PK that phosphorylates the C-terminal domain of RNA polymerase II.,G22P1;G22P2;HYRC HYRC1
358,DNA ligase IV-Xrcc4-DNA-protein kinase complex,Mouse,P97313;Q8BTF7;Q924T3,19090;319583;108138,DNA-dependent protein kinase catalytic subunit ;DNA ligase 4 ;DNA repair protein XRCC4,Prkdc;Lig4;Xrcc4,DNA ligase IV in complex with XRCC4 can be phosphorylated by DNA-protein kinase.,Xrcc7;;
359,DNA ligase IV-XRCC4-XLF complex,Human,P49917;Q13426;Q9H9Q4,3981;7518;79840,DNA ligase 4 ;DNA repair protein XRCC4 ;Non-homologous end-joining factor 1,LIG4;XRCC4;NHEJ1,None,;;XLF
360,Artemis-DNA-PK complex,Human,P78527;Q96SD1,5591;64421,DNA-dependent protein kinase catalytic subunit ;Protein artemis,PRKDC;DCLRE1C,DNA-PKcs is necessary for the loading of Artemis on damaged chromatin. Ku-mediated assembly of DNA-PK on DNA ends is responsible for a dissociation of the DNA-PKcs\u00b7Artemis complex.,HYRC HYRC1;ARTEMIS ASCID SCIDA SNM1C
362,DNA ligase III-XRCC1-PNK-DNA-pol III multiprotein complex,Human,P06746;P18887;P49916;Q96T60,5423;7515;3980;11284,DNA polymerase beta ;DNA repair protein XRCC1 ;DNA ligase 3 ;Bifunctional polynucleotide phosphatase/kinase,POLB;XRCC1;LIG3;PNKP,None,;;;
363,DNA ligase III-XRCC1 complex,Human,P18887;P49916,7515;3980,DNA repair protein XRCC1 ;DNA ligase 3,XRCC1;LIG3,None,;
364,RC-1 complex (recombination complex 1),Bovine,O54956;O97593;P97386;Q8CG48;Q9WVF7,18974;282370;16882;14211;18973,DNA polymerase epsilon subunit 2 ;Structural maintenance of chromosomes protein 1A ;DNA ligase 3 ;Structural maintenance of chromosomes protein 2 ;DNA polymerase epsilon catalytic subunit A,Pole2;SMC1A;Lig3;Smc2;Pole,None,;SMC1 SMC1L1;;Cape Fin16 Smc2l1;Pole1
366,Rag1-Rag2 protein-DNA complex,Mouse,P15919;P21784,19373;19374,V;V,Rag1;Rag2,Rag1 and Rag2 proteins form a stable complex only in presence of DNA.,;Rag-2
367,Rag1-Rag2-Ku70-Ku80 protein-DNA complex,Mouse,P15919;P21784;P23475;P27641;P63158,19373;19374;14375;22596;15289,V;V;X-ray repair cross-complementing protein 6 ;X-ray repair cross-complementing protein 5 ;High mobility group protein B1,Rag1;Rag2;Xrcc6;Xrcc5;Hmgb1,A stable complex is formed only in the presence of DNA and Rag1/2.,;Rag-2;G22p1 Ku70;G22p2;Hmg-1 Hmg1
368,ERCC1-ERCC4-MSH2 complex,Human,P07992;P43246;Q92889,2067;4436;2072,DNA excision repair protein ERCC-1;DNA mismatch repair protein Msh2 ;DNA repair endonuclease XPF,ERCC1;MSH2;ERCC4,None,;;ERCC11 XPF
370,MSH2-MSH6-PMS1-MLH1 complex,Human,P40692;P43246;P52701;P54277,4292;4436;2956;5378,DNA mismatch repair protein Mlh1 ;DNA mismatch repair protein Msh2 ;DNA mismatch repair protein Msh6 ;PMS1 protein homolog 1,MLH1;MSH2;MSH6;PMS1,The protein complex specifically binds to mismatched DNA. Interactions occur without addition of ATP.,COCA2;;GTBP;PMSL1
371,Structure-specific endonulease complex,Mammalia,P07992;Q9QYM7,2067;None,DNA excision repair protein ERCC-1;DNA repair endonuclease XPF,ERCC1;ERCC4,This complex is a structure-specific endonuclease responsible for the 5' incision during repair.,;
372,"F0F1 ATP synthase, mitochondrial",Rat,P05504;P10719;P11608;P15999;P19511;P21571;P29418;P29419;P31399;P35434;P35435;P56135;Q03344;Q06645;Q06646;Q6PDU7;Q71S46,26197;171374;26196;65262;171375;94271;245958;140608;641434;245965;116550;57423;25392;29754;171082;300677;114630,"ATP synthase subunit a ;ATP synthase subunit beta, mitochondrial ;ATP synthase protein 8 ;ATP synthase subunit alpha, mitochondrial;ATP synthase F;ATP synthase-coupling factor 6, mitochondrial ;ATP synthase subunit epsilon, mitochondrial ;ATP synthase subunit e, mitochondrial ;ATP synthase subunit d, mitochondrial ;ATP synthase subunit delta, mitochondrial ;ATP synthase subunit gamma, mitochondrial ;ATP synthase subunit f, mitochondrial;ATPase inhibitor, mitochondrial ;ATP synthase F;ATP synthase F;ATP synthase subunit g, mitochondrial ;ATP synthase F",Mt-atp6;Atp5b;Mt-atp8;Atp5a1;Atp5f1;Atp5j;Atp5e;Atp5i;Atp5h;Atp5d;Atp5c1;Atp5j2;Atpif1;Atp5g1;Atp5g2;Atp5l;Atp5g3,None,Atp6 Atpase6 Mtatp6;;Atp8 Atpase8 Mtatp8;;Atp5f;;;;Atp5jd;;Atp5c;;Atpi If1;;;;
